Txn Ref Number,Account Number,Date Time,Description,Withdrawals,Credit
TXN20037,673983640,06-10-2025 15:12,Zomato Food Order,1320.58,
TXN20038,673983640,07-10-2025 11:04,Cash Deposit,,24862.37
TXN20039,673983640,08-10-2025 18:33,ATM Withdrawal,7715.11,
TXN20040,673983640,09-10-2025 16:18,Petrol Pump,2197.66,
TXN20041,673983640,10-10-2025 17:41,Mutual Fund SIP,1393.32,
TXN20042,673983640,11-10-2025 19:39,Petrol Pump,1800.71,
TXN20043,673983640,12-10-2025 12:20,Grocery Purchase,557.30,
TXN20044,673983640,13-10-2025 15:35,Refund - Online Purchase,,1131.19
TXN20045,673983640,14-10-2025 08:08,Investment Return,,7439.94
TXN20046,673983640,15-10-2025 08:52,UPI Payment,2220.55,
TXN20047,673983640,16-10-2025 19:31,Interest Credit,,123.96
TXN20048,673983640,17-10-2025 20:30,Zomato Food Order,1304.72,
TXN20049,673983640,18-10-2025 20:46,Petrol Pump,854.74,
TXN20050,673983640,19-10-2025 13:18,Online Shopping - Flipkart,1071.31,
TXN20051,673983640,20-10-2025 15:15,Cash Deposit,,36963.74
TXN20052,673983640,21-10-2025 19:57,Petrol Pump,2614.43,
TXN20053,673983640,22-10-2025 11:27,ATM Withdrawal,7310.51,
TXN20054,673983640,23-10-2025 09:05,Grocery Purchase,3900.89,
TXN20055,673983640,24-10-2025 14:25,Cash Deposit,,13198.30
TXN20056,673983640,25-10-2025 20:27,Freelance Payment,,5640.16
TXN20057,673983640,26-10-2025 11:06,Bank Transfer to Friend,10926.74,
TXN20058,673983640,27-10-2025 18:59,Salary Deposit,,51608.40
TXN20059,673983640,28-10-2025 11:16,Swiggy Instamart,1729.19,
TXN20060,673983640,29-10-2025 11:12,Mutual Fund SIP,6113.58,
TXN20061,673983640,30-10-2025 08:37,Refund - Online Purchase,,4703.39
TXN20062,673983640,31-10-2025 12:54,Interest Credit,,70.65
TXN20063,673983640,01-10-2025 15:06,Online Shopping - Amazon,873.16,
TXN20064,673983640,02-10-2025 11:48,Petrol Pump,2429.35,
TXN20065,673983640,03-10-2025 13:23,Refund - Online Purchase,,2733.01
TXN20066,673983640,04-10-2025 20:28,Cash Deposit,,48184.17
TXN20067,673983640,05-10-2025 08:01,Grocery Purchase,3898.74,
TXN20068,673983640,06-10-2025 15:37,Salary Deposit,,79717.12
TXN20069,673983640,07-10-2025 11:08,UPI Payment,1994.08,
TXN20070,673983640,08-10-2025 17:13,Insurance Premium,7636.34,
TXN20071,892342028,09-10-2025 12:52,UPI Payment,2906.54,
TXN20072,892342028,10-10-2025 18:00,Cash Deposit,,33917.31
TXN20073,892342028,11-10-2025 14:55,ATM Withdrawal,15452.59,
TXN20074,892342028,12-10-2025 13:31,Interest Credit,,295.94
TXN20075,892342028,13-10-2025 18:16,Investment Return,,4670.16
TXN20076,892342028,14-10-2025 08:36,Cash Deposit,,42770.51
TXN20077,892342028,15-10-2025 16:39,Interest Credit,,236.49
TXN20078,892342028,16-10-2025 17:41,UPI Payment,2910.53,
TXN20079,892342028,17-10-2025 18:34,Mutual Fund SIP,2101.84,
TXN20080,892342028,18-10-2025 09:45,ATM Withdrawal,15901.67,
TXN20081,892342028,19-10-2025 14:13,Freelance Payment,,19281.69
TXN20082,892342028,20-10-2025 18:29,Interest Credit,,290.93
TXN20083,892342028,21-10-2025 11:41,Freelance Payment,,14090.11
TXN20084,892342028,22-10-2025 08:42,Petrol Pump,1026.89,
TXN20085,892342028,23-10-2025 17:52,Salary Deposit,,72350.03
TXN20086,892342028,24-10-2025 17:45,Salary Deposit,,78721.31
TXN20087,892342028,25-10-2025 13:28,Freelance Payment,,16698.12
TXN20088,892342028,26-10-2025 15:20,Mutual Fund SIP,6580.29,
TXN20089,892342028,27-10-2025 14:22,Swiggy Instamart,1175.38,
TXN20090,892342028,28-10-2025 17:25,Insurance Premium,3201.46,
TXN20091,892342028,29-10-2025 12:59,Interest Credit,,98.16
TXN20092,892342028,30-10-2025 16:14,Online Shopping - Flipkart,1974.48,
TXN20093,892342028,31-10-2025 10:28,Interest Credit,,232.51
TXN20094,892342028,01-10-2025 12:30,Refund - Online Purchase,,3246.46
TXN20095,892342028,02-10-2025 16:38,Swiggy Instamart,427.54,
TXN20096,892342028,03-10-2025 18:57,Investment Return,,5859.02
TXN20097,892342028,04-10-2025 13:04,Bank Transfer to Friend,3824.32,
TXN20098,892342028,05-10-2025 10:12,ATM Withdrawal,16145.38,
TXN20099,892342028,06-10-2025 12:35,Insurance Premium,4900.63,
TXN200100,892342028,07-10-2025 15:28,Online Shopping - Flipkart,3535.71,
