Txn Ref Number,Account Number,Date Time,Description,Withdrawals,Credit
TXN4000052,560058708,02-01-2025 07:12,Salary Deposit,,68905.65
TXN4000053,957129235,22-04-2025 17:03,Refund - Online Purchase,,2048.30
TXN4000054,259331851,13-01-2025 03:58,Investment Dividend,,3649.39
TXN4000055,957129235,02-05-2025 00:02,Freelance Payment,,16203.82
TXN4000056,573064860,15-04-2025 02:32,Interest Credit,,467.98
TXN4000057,924583611,24-02-2025 06:24,Salary Deposit,,92357.03
TXN4000058,573064860,25-05-2025 18:38,Subscription Renewal,526.53,
TXN4000059,560058708,01-09-2025 19:03,Salary Deposit,,44825.39
TXN4000060,957129235,09-05-2025 15:47,Online Shopping - Amazon,2573.68,
TXN4000061,924583611,03-06-2025 05:00,Transfer to Friend,21130.99,
TXN4000062,635153307,15-08-2025 02:53,Salary Deposit,,91606.38
TXN4000063,259331851,12-07-2025 18:41,Online Shopping - Flipkart,1573.13,
TXN4000064,635153307,08-07-2025 17:08,Restaurant Bill,2566.85,
TXN4000065,192139634,24-10-2025 07:04,ATM Withdrawal,13654.80,
TXN4000066,544914915,17-01-2025 23:24,Salary Deposit,,43738.29
TXN4000067,924583611,05-04-2025 17:28,Refund - Online Purchase,,3377.68
TXN4000068,305218736,07-08-2025 18:11,Restaurant Bill,2214.23,
TXN4000069,957129235,16-04-2025 12:58,Interest Credit,,375.30
TXN4000070,924583611,15-06-2025 18:20,Fuel Expense,3752.12,
TXN4000071,192139634,08-02-2025 15:14,Zomato Order,1166.89,
TXN4000072,259331851,07-04-2025 01:30,ATM Withdrawal,12391.98,
TXN4000073,305218736,23-09-2025 17:20,Utility Bill - Electricity,1417.03,
TXN4000074,560058708,14-05-2025 20:11,Swiggy Instamart,1669.00,
TXN4000075,192139634,07-07-2025 02:37,Zomato Order,541.36,
TXN4000076,560058708,19-03-2025 05:14,Investment Dividend,,2746.68
TXN4000077,305218736,25-03-2025 12:18,Swiggy Instamart,1358.65,
TXN4000078,192139634,19-09-2025 22:12,Zomato Order,768.10,
TXN4000079,924583611,19-09-2025 12:11,Interest Credit,,289.15
TXN4000080,578818953,07-03-2025 23:25,Fuel Expense,2375.27,
TXN4000081,305218736,13-02-2025 02:38,ATM Withdrawal,9270.50,
TXN4000082,560058708,21-08-2025 05:45,Mutual Fund SIP,11345.45,
TXN4000083,924583611,04-06-2025 16:42,Online Shopping - Flipkart,2268.83,
TXN4000084,635153307,02-02-2025 09:49,Insurance Premium,11115.45,
TXN4000085,578818953,29-10-2025 11:41,ATM Withdrawal,1691.50,
TXN4000086,957129235,01-09-2025 06:55,UPI Payment,1943.56,
TXN4000087,635153307,09-04-2025 23:34,Online Shopping - Amazon,3105.44,
TXN4000088,957129235,29-06-2025 04:44,Insurance Premium,7213.39,
TXN4000089,957129235,11-02-2025 16:03,Zomato Order,1050.78,
TXN4000090,578818953,16-06-2025 16:23,Refund - Online Purchase,,2253.91
TXN4000091,192139634,12-01-2025 16:19,Investment Dividend,,1816.07
TXN4000092,924583611,06-02-2025 05:14,Grocery Purchase,3542.74,
TXN4000093,544914915,12-04-2025 03:53,Grocery Purchase,3126.16,
TXN4000094,635153307,04-02-2025 00:15,UPI Payment,512.53,
TXN4000095,573064860,11-06-2025 06:46,Subscription Renewal,1181.17,
TXN4000096,192139634,08-09-2025 11:23,Insurance Premium,7049.81,
TXN4000097,305218736,19-10-2025 18:22,Freelance Payment,,11474.40
TXN4000098,635153307,03-02-2025 05:19,UPI Payment,1545.13,
TXN4000099,957129235,21-04-2025 04:00,Refund - Online Purchase,,6263.52
TXN4000100,560058708,21-09-2025 02:06,Cash Deposit,,12694.53
TXN4000101,924583611,17-07-2025 04:43,Restaurant Bill,1121.13,
TXN4000102,957129235,06-01-2025 22:12,Cash Deposit,,31771.67
TXN4000103,957129235,26-05-2025 21:26,Insurance Premium,11521.25,
TXN4000104,192139634,26-06-2025 16:14,Online Shopping - Amazon,4387.80,
TXN4000105,259331851,02-03-2025 12:11,Investment Dividend,,10611.96
TXN4000106,305218736,18-10-2025 20:07,UPI Payment,1794.64,
TXN4000107,305218736,08-07-2025 18:07,Grocery Purchase,4472.76,
TXN4000108,192139634,11-10-2025 03:16,Utility Bill - Electricity,3460.72,
TXN4000109,578818953,15-10-2025 06:10,Swiggy Instamart,968.97,
TXN4000110,305218736,20-06-2025 16:38,Investment Dividend,,11797.70
TXN4000111,635153307,26-03-2025 13:41,Freelance Payment,,21732.62
TXN4000112,560058708,06-01-2025 04:38,Swiggy Instamart,1266.78,
TXN4000113,259331851,08-06-2025 13:31,Transfer to Friend,8760.78,
TXN4000114,573064860,29-05-2025 00:57,Subscription Renewal,534.17,
TXN4000115,924583611,28-04-2025 00:39,ATM Withdrawal,10218.15,
TXN4000116,924583611,09-05-2025 06:17,Transfer to Friend,23919.23,
TXN4000117,957129235,28-08-2025 12:42,Online Shopping - Amazon,5516.41,
TXN4000118,259331851,21-07-2025 17:19,Refund - Online Purchase,,1338.53
TXN4000119,560058708,17-04-2025 07:17,Cash Deposit,,50558.96
TXN4000120,635153307,20-06-2025 00:24,Online Shopping - Amazon,4644.95,
TXN4000121,573064860,23-10-2025 18:38,Online Shopping - Flipkart,3881.25,
TXN4000122,635153307,03-05-2025 14:44,Grocery Purchase,2433.88,
TXN4000123,192139634,12-09-2025 09:27,Online Shopping - Amazon,2583.89,
TXN4000124,192139634,11-07-2025 15:57,Online Shopping - Flipkart,4272.79,
TXN4000125,573064860,01-02-2025 07:33,Interest Credit,,445.65
TXN4000126,259331851,14-10-2025 23:20,UPI Payment,2185.16,
TXN4000127,957129235,28-03-2025 15:01,Refund - Online Purchase,,1705.59
TXN4000128,924583611,27-09-2025 22:24,ATM Withdrawal,18517.13,
TXN4000129,957129235,06-04-2025 16:24,Transfer to Friend,2752.89,
TXN4000130,635153307,17-02-2025 13:03,Transfer to Friend,9567.35,
TXN4000131,305218736,02-09-2025 18:16,Swiggy Instamart,1093.87,
TXN4000132,544914915,30-01-2025 15:09,Online Shopping - Flipkart,4436.04,
TXN4000133,635153307,08-03-2025 03:11,Insurance Premium,5746.74,
TXN4000134,924583611,23-05-2025 06:25,Swiggy Instamart,1769.63,
TXN4000135,192139634,26-06-2025 08:47,Cash Deposit,,37879.16
TXN4000136,560058708,31-10-2025 20:28,Subscription Renewal,1324.17,
TXN4000137,578818953,16-04-2025 17:50,Freelance Payment,,6987.66
TXN4000138,924583611,16-10-2025 00:32,Investment Dividend,,3777.73
TXN4000139,957129235,30-05-2025 15:19,Restaurant Bill,902.59,
TXN4000140,924583611,26-05-2025 07:47,UPI Payment,1244.93,
TXN4000141,957129235,13-04-2025 09:31,Interest Credit,,441.81
TXN4000142,192139634,14-02-2025 18:30,Restaurant Bill,2130.83,
TXN4000143,957129235,12-03-2025 16:41,Subscription Renewal,370.85,
TXN4000144,560058708,03-02-2025 10:26,Mutual Fund SIP,7793.81,
TXN4000145,544914915,22-03-2025 01:42,Investment Dividend,,4058.61
TXN4000146,544914915,14-08-2025 17:19,Fuel Expense,2810.56,
TXN4000147,259331851,13-02-2025 19:22,Refund - Online Purchase,,1521.06
TXN4000148,957129235,17-02-2025 19:30,Insurance Premium,3886.93,
TXN4000149,635153307,09-04-2025 12:49,Utility Bill - Electricity,1796.79,
TXN4000150,305218736,08-03-2025 14:39,Interest Credit,,450.13
TXN4000151,578818953,26-09-2025 20:27,Restaurant Bill,1038.76,
TXN4000152,578818953,25-03-2025 21:30,Utility Bill - Electricity,3895.27,
TXN4000153,259331851,01-01-2025 19:50,Grocery Purchase,494.04,
TXN4000154,635153307,15-02-2025 09:53,Online Shopping - Amazon,2598.25,
TXN4000155,924583611,04-06-2025 08:51,Transfer to Friend,7941.44,
TXN4000156,635153307,01-03-2025 08:22,Investment Dividend,,1724.72
TXN4000157,573064860,19-05-2025 23:56,Online Shopping - Flipkart,1352.53,
TXN4000158,573064860,08-01-2025 02:50,Investment Dividend,,7187.98
TXN4000159,635153307,04-05-2025 22:33,Restaurant Bill,2852.14,
TXN4000160,259331851,05-06-2025 15:40,Grocery Purchase,4800.85,
TXN4000161,635153307,22-02-2025 02:42,Restaurant Bill,3380.63,
TXN4000162,305218736,21-04-2025 03:05,Salary Deposit,,99077.20
TXN4000163,192139634,12-01-2025 05:49,Insurance Premium,10145.38,
TXN4000164,305218736,12-04-2025 05:30,Cash Deposit,,45374.44
TXN4000165,192139634,26-04-2025 10:22,Swiggy Instamart,1540.84,
TXN4000166,635153307,14-03-2025 18:47,Grocery Purchase,535.60,
TXN4000167,305218736,13-05-2025 01:16,Salary Deposit,,71837.47
TXN4000168,544914915,16-04-2025 10:21,Online Shopping - Amazon,2256.27,
TXN4000169,635153307,26-08-2025 01:47,UPI Payment,2624.91,
TXN4000170,259331851,01-02-2025 00:31,Utility Bill - Electricity,3251.61,
TXN4000171,544914915,18-04-2025 07:40,Online Shopping - Flipkart,1041.35,
TXN4000172,192139634,23-02-2025 07:09,Online Shopping - Flipkart,1350.18,
TXN4000173,560058708,20-02-2025 23:47,Refund - Online Purchase,,6185.59
TXN4000174,259331851,25-02-2025 20:32,Online Shopping - Amazon,4313.63,
TXN4000175,635153307,15-01-2025 13:35,Fuel Expense,1280.29,
TXN4000176,924583611,13-02-2025 15:22,Zomato Order,1060.58,
TXN4000177,544914915,04-04-2025 09:54,Restaurant Bill,3867.24,
TXN4000178,924583611,28-02-2025 08:31,Zomato Order,1137.79,
TXN4000179,544914915,14-03-2025 18:27,Transfer to Friend,10059.64,
TXN4000180,573064860,08-09-2025 17:32,Subscription Renewal,1417.45,
TXN4000181,259331851,10-01-2025 01:00,Investment Dividend,,11939.95
TXN4000182,573064860,28-01-2025 18:51,Freelance Payment,,15334.72
TXN4000183,924583611,18-07-2025 19:54,Swiggy Instamart,649.71,
TXN4000184,544914915,12-07-2025 04:52,UPI Payment,396.19,
TXN4000185,259331851,28-07-2025 13:30,Fuel Expense,3955.94,
TXN4000186,578818953,09-09-2025 13:02,Utility Bill - Electricity,994.49,
TXN4000187,560058708,04-10-2025 01:30,Transfer to Friend,13887.60,
TXN4000188,573064860,06-08-2025 23:26,Swiggy Instamart,349.65,
TXN4000189,560058708,05-01-2025 10:14,Refund - Online Purchase,,5677.65
TXN4000190,259331851,28-07-2025 14:43,UPI Payment,2567.34,
TXN4000191,573064860,10-07-2025 15:43,Mutual Fund SIP,10781.44,
TXN4000192,957129235,06-08-2025 18:04,Fuel Expense,900.06,
TXN4000193,578818953,30-06-2025 15:09,Transfer to Friend,19367.39,
TXN4000194,924583611,29-04-2025 17:19,Grocery Purchase,1154.33,
TXN4000195,635153307,20-10-2025 23:09,Online Shopping - Amazon,1700.06,
TXN4000196,259331851,19-02-2025 00:51,Investment Dividend,,4478.17
TXN4000197,635153307,05-06-2025 09:49,Subscription Renewal,1407.61,
TXN4000198,192139634,23-03-2025 00:11,Transfer to Friend,12461.56,
TXN4000199,573064860,12-05-2025 10:45,Fuel Expense,2780.16,
TXN4000200,560058708,31-07-2025 04:23,Restaurant Bill,2924.89,
TXN4000201,560058708,30-05-2025 05:58,Subscription Renewal,1394.85,
TXN4000202,573064860,30-08-2025 15:27,Investment Dividend,,5411.36
TXN4000203,560058708,12-09-2025 06:55,Swiggy Instamart,1074.34,
TXN4000204,192139634,26-08-2025 11:56,Swiggy Instamart,1538.17,
TXN4000205,192139634,04-04-2025 16:44,Grocery Purchase,3673.14,
TXN4000206,573064860,19-01-2025 22:41,Subscription Renewal,1195.39,
TXN4000207,560058708,27-10-2025 16:39,Refund - Online Purchase,,1467.54
TXN4000208,305218736,18-04-2025 14:47,Swiggy Instamart,982.75,
TXN4000209,578818953,13-10-2025 22:48,Mutual Fund SIP,7860.53,
TXN4000210,924583611,18-09-2025 08:24,Freelance Payment,,19098.40
TXN4000211,573064860,06-07-2025 05:43,ATM Withdrawal,14497.47,
TXN4000212,544914915,18-06-2025 11:37,Restaurant Bill,3844.24,
TXN4000213,924583611,20-07-2025 08:27,Interest Credit,,483.60
TXN4000214,560058708,27-06-2025 10:14,Salary Deposit,,94330.82
TXN4000215,544914915,04-07-2025 00:57,Cash Deposit,,16185.89
TXN4000216,635153307,28-02-2025 16:31,Grocery Purchase,548.02,
TXN4000217,957129235,30-08-2025 02:07,ATM Withdrawal,6086.16,
TXN4000218,560058708,25-07-2025 23:15,Insurance Premium,6589.50,
TXN4000219,635153307,26-07-2025 09:25,Zomato Order,1394.65,
TXN4000220,192139634,09-01-2025 07:54,Insurance Premium,3116.42,
TXN4000221,305218736,23-02-2025 13:01,Cash Deposit,,18431.10
TXN4000222,957129235,11-02-2025 19:05,Interest Credit,,361.13
TXN4000223,573064860,10-08-2025 06:40,Investment Dividend,,8295.33
TXN4000224,957129235,08-02-2025 14:47,Subscription Renewal,684.94,
TXN4000225,192139634,17-07-2025 20:03,Cash Deposit,,7094.39
TXN4000226,305218736,04-01-2025 19:23,Cash Deposit,,31471.05
TXN4000227,635153307,21-09-2025 06:59,Transfer to Friend,22158.44,
TXN4000228,544914915,10-08-2025 22:23,Insurance Premium,3420.56,
TXN4000229,259331851,05-08-2025 20:57,ATM Withdrawal,11168.81,
TXN4000230,544914915,18-05-2025 04:14,Utility Bill - Electricity,3163.32,
TXN4000231,192139634,11-01-2025 02:38,Salary Deposit,,45415.27
TXN4000232,544914915,20-02-2025 04:47,Online Shopping - Amazon,1195.67,
TXN4000233,192139634,07-03-2025 20:30,Swiggy Instamart,388.31,
TXN4000234,560058708,05-02-2025 05:46,Insurance Premium,7317.76,
TXN4000235,192139634,20-02-2025 23:24,Online Shopping - Flipkart,4459.40,
TXN4000236,192139634,10-08-2025 13:13,Fuel Expense,1277.02,
TXN4000237,573064860,21-02-2025 21:40,Online Shopping - Amazon,5491.00,
TXN4000238,544914915,08-04-2025 03:19,Interest Credit,,85.47
TXN4000239,192139634,08-10-2025 05:53,Subscription Renewal,389.19,
TXN4000240,578818953,13-03-2025 16:05,Insurance Premium,5623.94,
TXN4000241,573064860,16-07-2025 22:15,Subscription Renewal,477.47,
TXN4000242,573064860,02-02-2025 01:47,ATM Withdrawal,14459.72,
TXN4000243,305218736,12-05-2025 11:10,Interest Credit,,58.56
TXN4000244,573064860,05-06-2025 01:58,Transfer to Friend,24321.91,
TXN4000245,259331851,24-09-2025 12:42,Investment Dividend,,9164.58
TXN4000246,573064860,12-05-2025 02:30,Restaurant Bill,2541.17,
TXN4000247,924583611,28-09-2025 02:22,Refund - Online Purchase,,6867.01
TXN4000248,578818953,12-09-2025 21:12,Zomato Order,1165.55,
TXN4000249,635153307,01-01-2025 04:18,Zomato Order,748.27,
TXN4000250,635153307,29-06-2025 05:21,Mutual Fund SIP,11510.78,
TXN4000251,635153307,21-01-2025 01:18,ATM Withdrawal,7960.67,
TXN4000252,573064860,02-01-2025 12:23,Freelance Payment,,26286.55
TXN4000253,560058708,25-04-2025 05:23,Interest Credit,,370.21
TXN4000254,544914915,16-08-2025 03:04,Investment Dividend,,7931.64
TXN4000255,560058708,13-07-2025 09:33,Insurance Premium,10438.83,
TXN4000256,544914915,12-03-2025 13:16,ATM Withdrawal,7602.64,
TXN4000257,544914915,01-08-2025 14:50,Subscription Renewal,596.68,
TXN4000258,924583611,12-09-2025 18:46,Transfer to Friend,1675.82,
TXN4000259,957129235,29-09-2025 00:28,Utility Bill - Electricity,3153.24,
TXN4000260,578818953,05-09-2025 21:02,Grocery Purchase,581.26,
TXN4000261,573064860,21-04-2025 16:10,Online Shopping - Amazon,4118.91,
TXN4000262,924583611,08-03-2025 10:12,Investment Dividend,,4921.19
TXN4000263,544914915,11-07-2025 00:10,Fuel Expense,1122.13,
TXN4000264,573064860,03-09-2025 07:58,UPI Payment,2009.21,
TXN4000265,544914915,26-06-2025 14:55,Grocery Purchase,3019.59,
TXN4000266,544914915,19-09-2025 03:18,Salary Deposit,,42512.60
TXN4000267,192139634,01-05-2025 01:08,Fuel Expense,3032.38,
TXN4000268,578818953,05-05-2025 23:52,Investment Dividend,,1147.54
TXN4000269,635153307,14-07-2025 04:33,Fuel Expense,2230.51,
TXN4000270,924583611,30-05-2025 21:18,Restaurant Bill,1170.14,
TXN4000271,259331851,03-08-2025 10:52,Insurance Premium,4625.62,
TXN4000272,635153307,26-05-2025 06:03,Mutual Fund SIP,3071.42,
TXN4000273,305218736,08-05-2025 17:57,Transfer to Friend,24129.55,
TXN4000274,544914915,14-01-2025 22:10,Salary Deposit,,69697.14
TXN4000275,305218736,01-03-2025 07:24,Insurance Premium,9409.74,
TXN4000276,305218736,11-07-2025 08:25,Online Shopping - Flipkart,968.61,
TXN4000277,544914915,26-04-2025 16:24,Insurance Premium,4265.62,
TXN4000278,560058708,24-03-2025 22:02,ATM Withdrawal,525.38,
TXN4000279,573064860,01-02-2025 06:49,Investment Dividend,,11660.61
TXN4000280,635153307,22-02-2025 00:28,Freelance Payment,,20867.86
TXN4000281,573064860,25-05-2025 21:35,Online Shopping - Amazon,5859.52,
TXN4000282,635153307,14-02-2025 13:00,Online Shopping - Flipkart,3969.31,
TXN4000283,305218736,08-07-2025 18:13,Salary Deposit,,85818.04
TXN4000284,924583611,27-05-2025 17:11,Utility Bill - Electricity,898.55,
TXN4000285,957129235,02-06-2025 21:37,Refund - Online Purchase,,1729.11
TXN4000286,578818953,23-08-2025 21:55,Interest Credit,,427.97
TXN4000287,573064860,29-07-2025 06:18,Utility Bill - Electricity,1610.92,
TXN4000288,259331851,30-04-2025 22:14,Freelance Payment,,27525.30
TXN4000289,560058708,07-04-2025 02:43,Investment Dividend,,6488.57
TXN4000290,259331851,25-10-2025 16:57,ATM Withdrawal,9076.17,
TXN4000291,544914915,30-10-2025 04:41,Utility Bill - Electricity,2382.33,
TXN4000292,259331851,03-06-2025 12:46,Mutual Fund SIP,9234.76,
TXN4000293,924583611,09-09-2025 14:22,Interest Credit,,406.78
TXN4000294,924583611,22-01-2025 13:26,Interest Credit,,474.83
TXN4000295,544914915,23-06-2025 09:29,Swiggy Instamart,688.35,
TXN4000296,578818953,10-02-2025 11:57,ATM Withdrawal,4466.07,
TXN4000297,635153307,12-06-2025 19:20,Zomato Order,1189.61,
TXN4000298,573064860,03-03-2025 08:30,ATM Withdrawal,10744.16,
TXN4000299,957129235,12-08-2025 23:43,Mutual Fund SIP,7156.01,
TXN4000300,305218736,09-10-2025 18:21,Freelance Payment,,13635.19
TXN4000301,544914915,07-09-2025 15:06,Subscription Renewal,1291.00,
TXN4000302,192139634,12-02-2025 02:42,Utility Bill - Electricity,1726.32,
TXN4000303,305218736,09-10-2025 15:36,Transfer to Friend,1406.69,
TXN4000304,305218736,01-09-2025 14:47,UPI Payment,2612.48,
TXN4000305,259331851,19-09-2025 07:29,Freelance Payment,,27291.21
TXN4000306,259331851,05-03-2025 06:21,Subscription Renewal,936.94,
TXN4000307,305218736,31-10-2025 05:58,Mutual Fund SIP,7922.92,
TXN4000308,560058708,09-10-2025 21:25,Salary Deposit,,41843.16
TXN4000309,305218736,27-09-2025 23:23,ATM Withdrawal,15914.25,
TXN4000310,924583611,02-10-2025 16:36,Grocery Purchase,2019.26,
TXN4000311,560058708,12-09-2025 17:43,Freelance Payment,,14330.79
TXN4000312,259331851,12-03-2025 05:27,Zomato Order,401.19,
TXN4000313,578818953,14-07-2025 08:50,UPI Payment,1759.80,
TXN4000314,578818953,16-06-2025 22:40,Salary Deposit,,53339.84
TXN4000315,578818953,10-02-2025 17:30,Subscription Renewal,466.26,
TXN4000316,573064860,17-03-2025 19:26,Investment Dividend,,6716.30
TXN4000317,305218736,28-09-2025 16:15,Online Shopping - Flipkart,1921.37,
TXN4000318,259331851,01-09-2025 16:25,Interest Credit,,338.75
TXN4000319,957129235,04-04-2025 19:11,Restaurant Bill,901.96,
TXN4000320,924583611,12-09-2025 18:37,Utility Bill - Electricity,1618.35,
TXN4000321,305218736,11-06-2025 04:10,Insurance Premium,11759.38,
TXN4000322,305218736,15-07-2025 00:25,Investment Dividend,,8440.38
TXN4000323,544914915,12-08-2025 11:53,UPI Payment,2608.66,
TXN4000324,578818953,06-06-2025 03:35,Swiggy Instamart,1574.12,
TXN4000325,560058708,11-05-2025 10:49,Fuel Expense,1953.39,
TXN4000326,305218736,29-10-2025 05:53,Restaurant Bill,1365.20,
TXN4000327,192139634,14-10-2025 03:37,Transfer to Friend,6623.94,
TXN4000328,259331851,08-05-2025 20:12,Cash Deposit,,47947.26
TXN4000329,573064860,28-02-2025 11:35,Zomato Order,295.77,
TXN4000330,259331851,08-10-2025 00:26,ATM Withdrawal,18328.23,
TXN4000331,635153307,24-07-2025 12:02,Freelance Payment,,22106.00
TXN4000332,560058708,14-05-2025 22:56,Salary Deposit,,42651.49
TXN4000333,305218736,21-05-2025 02:45,Interest Credit,,90.39
TXN4000334,192139634,13-05-2025 05:19,Subscription Renewal,1338.35,
TXN4000335,924583611,07-02-2025 01:52,Utility Bill - Electricity,1010.81,
TXN4000336,192139634,30-07-2025 04:11,Mutual Fund SIP,7535.32,
TXN4000337,573064860,31-01-2025 08:54,Grocery Purchase,3463.91,
TXN4000338,259331851,19-07-2025 13:56,Restaurant Bill,1141.49,
TXN4000339,635153307,17-02-2025 06:38,Mutual Fund SIP,1902.56,
TXN4000340,259331851,25-02-2025 15:15,Online Shopping - Amazon,3041.96,
TXN4000341,578818953,16-07-2025 00:30,Freelance Payment,,24687.82
TXN4000342,305218736,15-05-2025 08:59,Investment Dividend,,8823.18
TXN4000343,259331851,10-07-2025 10:07,Investment Dividend,,4944.71
TXN4000344,635153307,21-02-2025 20:42,Cash Deposit,,20349.62
TXN4000345,957129235,28-04-2025 14:19,Utility Bill - Electricity,3143.38,
TXN4000346,924583611,02-01-2025 23:43,Interest Credit,,313.85
TXN4000347,560058708,06-03-2025 01:32,Refund - Online Purchase,,6988.36
TXN4000348,560058708,17-09-2025 19:22,Subscription Renewal,394.33,
TXN4000349,544914915,01-05-2025 22:31,Subscription Renewal,716.89,
TXN4000350,573064860,07-07-2025 15:49,Refund - Online Purchase,,1913.41
TXN4000351,305218736,16-06-2025 09:23,Restaurant Bill,508.61,
TXN4000352,560058708,24-04-2025 01:58,Utility Bill - Electricity,1350.53,
TXN4000353,259331851,06-06-2025 07:13,Online Shopping - Amazon,434.03,
TXN4000354,560058708,27-01-2025 18:25,Mutual Fund SIP,7978.26,
TXN4000355,635153307,19-05-2025 01:41,Utility Bill - Electricity,2092.59,
TXN4000356,192139634,24-02-2025 13:11,ATM Withdrawal,4155.78,
TXN4000357,192139634,12-10-2025 06:06,ATM Withdrawal,1876.77,
TXN4000358,635153307,17-10-2025 09:53,Online Shopping - Flipkart,907.38,
TXN4000359,259331851,04-06-2025 14:37,Zomato Order,1170.39,
TXN4000360,192139634,12-10-2025 09:45,ATM Withdrawal,17641.19,
TXN4000361,573064860,30-07-2025 12:08,ATM Withdrawal,11056.00,
TXN4000362,560058708,01-09-2025 08:16,Online Shopping - Flipkart,1888.55,
TXN4000363,924583611,10-06-2025 15:54,Online Shopping - Amazon,5117.17,
TXN4000364,635153307,08-01-2025 08:21,Grocery Purchase,3192.01,
TXN4000365,578818953,04-06-2025 17:03,Grocery Purchase,4204.47,
TXN4000366,305218736,06-03-2025 18:36,UPI Payment,226.74,
TXN4000367,957129235,30-08-2025 22:56,Mutual Fund SIP,12741.71,
TXN4000368,578818953,07-01-2025 20:15,ATM Withdrawal,15183.23,
TXN4000369,259331851,10-10-2025 02:16,ATM Withdrawal,10284.86,
TXN4000370,560058708,31-01-2025 02:11,Cash Deposit,,41000.88
TXN4000371,573064860,03-09-2025 00:46,Mutual Fund SIP,3719.67,
TXN4000372,578818953,21-10-2025 13:55,UPI Payment,1292.57,
TXN4000373,305218736,26-10-2025 00:58,Swiggy Instamart,443.15,
TXN4000374,957129235,27-09-2025 04:27,Insurance Premium,6952.36,
TXN4000375,560058708,03-10-2025 06:58,Transfer to Friend,19958.31,
